artist_score,vormittags,nachmittags,abends,nachts,group,gesamt
1187.17,98.59,284.18,121.1,546.32,Ultravox,1050.19
879.49,123.12,177.89,64.09,362.8,New Order,727.9
681.49,20.09,95.29,78.99,336.4,The Rolling Stones,530.77
665.44,47.67,348.68,17.34,37.18,Franco Battiato,450.87
472.61,40.36,164.87,101.57,14.19,Talking Heads,320.99
299.43,0.0,77.04,0.0,118.15,Tangerine Dream,195.19
256.42,6.53,144.4,37.09,0.0,Van Der Graaf Generator,188.02
209.17,4.22,55.81,53.48,0.0,XTC,113.51
196.69,32.92,43.95,14.3,11.2,Yazoo,102.37
174.57,0.0,36.25,30.39,22.63,PJ Harvey,89.27
