index,variable,group,daily_score,n_tracks,n_utracks,daily_dur,artist_score,value
273,Franco Battiato,28,0.0,0.0,0.0,0.0,0.0,0
274,Ultravox,28,36.29,4.0,4.0,20.520000000000003,391.41,4
275,Depeche Mode,28,11.28,1.0,1.0,7.97,246.26,2
276,King Crimson,28,0.0,0.0,0.0,0.0,0.0,0
277,The Beatles,28,0.0,0.0,0.0,0.0,0.0,0
278,Frank Zappa,28,0.0,0.0,0.0,0.0,0.0,0
279,Premiata Forneria Marconi,28,0.0,0.0,0.0,0.0,0.0,0
280,Talking Heads,29,0.0,0.0,0.0,0.0,0.0,0
281,New Order,29,0.0,0.0,0.0,0.0,0.0,0
282,The Human League,29,0.0,0.0,0.0,0.0,0.0,0
283,Franco Battiato,29,0.0,0.0,0.0,0.0,0.0,0
284,Ultravox,29,0.0,0.0,0.0,0.0,0.0,0
285,Depeche Mode,29,0.0,0.0,0.0,0.0,0.0,0
286,King Crimson,29,0.0,0.0,0.0,0.0,0.0,0
287,The Beatles,29,0.0,0.0,0.0,0.0,0.0,0
288,Frank Zappa,29,0.0,0.0,0.0,0.0,0.0,0
289,Premiata Forneria Marconi,29,0.0,0.0,0.0,0.0,0.0,0
290,Talking Heads,30,10.52,1.0,1.0,6.03,637.02,2
291,New Order,30,27.55,3.0,3.0,14.67,576.21,3
292,The Human League,30,10.7,1.0,1.0,6.47,554.77,2
293,Franco Battiato,30,0.0,0.0,0.0,0.0,0.0,0
294,Ultravox,30,35.9,4.0,4.0,19.17,391.41,4
295,Depeche Mode,30,19.28,2.0,2.0,10.76,246.26,2
296,King Crimson,30,0.0,0.0,0.0,0.0,0.0,0
297,The Beatles,30,0.0,0.0,0.0,0.0,0.0,0
298,Frank Zappa,30,0.0,0.0,0.0,0.0,0.0,0
299,Premiata Forneria Marconi,30,0.0,0.0,0.0,0.0,0.0,0
300,Talking Heads,31,0.0,0.0,0.0,0.0,0.0,0
301,New Order,31,0.0,0.0,0.0,0.0,0.0,0
302,The Human League,31,0.0,0.0,0.0,0.0,0.0,0
303,Franco Battiato,31,0.0,0.0,0.0,0.0,0.0,0
304,Ultravox,31,0.0,0.0,0.0,0.0,0.0,0
305,Depeche Mode,31,0.0,0.0,0.0,0.0,0.0,0
306,King Crimson,31,0.0,0.0,0.0,0.0,0.0,0
307,The Beatles,31,0.0,0.0,0.0,0.0,0.0,0
308,Frank Zappa,31,0.0,0.0,0.0,0.0,0.0,0
309,Premiata Forneria Marconi,31,0.0,0.0,0.0,0.0,0.0,0
