variable,group,daily_score,n_tracks,n_utracks,daily_dur,artist_score,oha,value
The Dandy Warhols,9,144.95,19.0,17.0,71.93,329.3,1,8
Van Der Graaf Generator,10,84.16,10.0,8.0,83.62,1000.08,1,8
Franco Battiato,10,98.65,12.0,12.0,46.27,963.66,1,8
Kajagoogoo,10,0.0,0.0,0.0,0.0,0.0,1,0
Yes,10,20.48,2.0,2.0,14.44,898.61,1,3
King Crimson,10,30.9,3.0,3.0,26.43,587.92,1,4
New Order,10,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,10,28.07,3.0,3.0,16.35,515.13,1,3
Depeche Mode,10,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,10,10.61,1.0,1.0,6.25,366.5,1,2
The Dandy Warhols,10,91.81,11.0,11.0,47.0,329.3,1,8
Van Der Graaf Generator,11,87.56,9.0,9.0,96.82,1000.08,1,8
Franco Battiato,11,0.0,0.0,0.0,0.0,0.0,1,0
Kajagoogoo,11,76.14,9.0,9.0,39.61,908.13,1,8
Yes,11,0.0,0.0,0.0,0.0,0.0,1,0
King Crimson,11,0.0,0.0,0.0,0.0,0.0,1,0
New Order,11,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,11,0.0,0.0,0.0,0.0,0.0,1,0
Depeche Mode,11,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,11,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,11,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,12,67.0,7.0,7.0,62.13,1000.08,1,7
Franco Battiato,12,134.23,17.0,16.0,68.27,963.66,1,8
Kajagoogoo,12,0.0,0.0,0.0,0.0,0.0,1,0
Yes,12,0.0,0.0,0.0,0.0,0.0,1,0
King Crimson,12,0.0,0.0,0.0,0.0,0.0,1,0
New Order,12,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,12,19.07,2.0,2.0,10.16,515.13,1,2
Depeche Mode,12,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,12,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,12,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,13,65.98,7.0,7.0,57.15,1000.08,1,7
Franco Battiato,13,27.63,3.0,3.0,14.92,963.66,1,3
Kajagoogoo,13,0.0,0.0,0.0,0.0,0.0,1,0
Yes,13,129.99,15.0,15.0,99.26,898.61,1,8
King Crimson,13,76.16,9.0,9.0,39.7,587.92,1,8
New Order,13,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,13,0.0,0.0,0.0,0.0,0.0,1,0
Depeche Mode,13,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,13,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,13,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,14,35.37,3.0,3.0,45.01,1000.08,1,4
Franco Battiato,14,9.44,1.0,1.0,3.57,963.66,1,1
Kajagoogoo,14,0.0,0.0,0.0,0.0,0.0,1,0
Yes,14,106.22,13.0,11.0,89.39,898.61,1,8
King Crimson,14,36.62,4.0,4.0,21.7,587.92,1,4
New Order,14,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,14,0.0,0.0,0.0,0.0,0.0,1,0
Depeche Mode,14,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,14,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,14,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,15,0.0,0.0,0.0,0.0,0.0,1,0
Franco Battiato,15,10.04,1.0,1.0,4.89,963.66,1,2
Kajagoogoo,15,164.75,22.0,19.0,86.83,908.13,1,8
Yes,15,20.69,2.0,2.0,15.12,898.61,1,3
King Crimson,15,67.91,8.0,8.0,34.44,587.92,1,7
New Order,15,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,15,44.49,5.0,5.0,24.9,515.13,1,5
Depeche Mode,15,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,15,110.54,13.0,13.0,69.83,366.5,1,8
The Dandy Warhols,15,0.0,0.0,0.0,0.0,0.0,1,0
Van Der Graaf Generator,16,0.0,0.0,0.0,0.0,0.0,1,0
Franco Battiato,16,103.67,13.0,12.0,55.67,963.66,1,8
Kajagoogoo,16,0.0,0.0,0.0,0.0,0.0,1,0
Yes,16,113.89,17.0,10.0,87.55,898.61,1,8
King Crimson,16,10.03,1.0,1.0,4.88,587.92,1,2
New Order,16,0.0,0.0,0.0,0.0,0.0,1,0
Premiata Forneria Marconi,16,178.54,22.0,22.0,96.72,515.13,1,8
Depeche Mode,16,0.0,0.0,0.0,0.0,0.0,1,0
Banco Del Mutuo Soccorso,16,0.0,0.0,0.0,0.0,0.0,1,0
The Dandy Warhols,16,0.0,0.0,0.0,0.0,0.0,1,0
